id,type,name,lat,lon
8145634,area,Památné stromořadí (lípy),49.1756829,16.529968
8146098,area,Základní škola Bosonohy,49.175961,16.5297391
9348418,area,náměstí 28. října,49.2037981,16.6120282
9348492,area,Pharma Park,49.2485084,16.5904375
9398296,area,Brněnská,49.1843934,16.4035747
9688880,area,Šilingrovo náměstí,49.1925157,16.6051982
10363418,area,vodojem Bosonohy,49.1820434,16.5258136
11768452,area,TK Bosonohy,49.175627,16.5268687
11768456,area,FK SK Bosonohy,49.1749632,16.5272512
11780272,area,Orlovna Bosonohy,49.1735934,16.5326247
12553098,area,RWE Transgas,49.1757017,16.5191092
12553116,area,Nanebevzetí Panny Marie,49.1654902,16.5173061
15453508,area,Lužánky,49.2075472,16.6046556
16141228,area,Brno 2,49.1904204,16.6108996
16307390,area,Zelný trh,49.192252,16.6077407
17342192,area,VIDA! science centrum,49.1863914,16.5832122
17347464,area,lázně Riviéra,49.1866422,16.5704428
20080758,area,Björnsonův sad,49.2076942,16.5925477
30184306,area,Židovský hřbitov,49.1924041,16.6417456
30184308,area,Ústřední hřbitov,49.1705359,16.588159
31750722,area,Kobližná,49.1953781,16.6126531
32272970,area,J. A. Komenského,49.1977986,16.603068
32293222,area,Mendelova univerzita v Brně,49.2103854,16.6122859
32293224,area,Přírodovědecká fakulta Masarykovy univerzity,49.2048776,16.5963583
32293228,area,Botanická zahrada,49.2046109,16.5954514
32293232,area,vodojem Kraví hora,49.2040665,16.5841536
182875,area,Moravská zemská knihovna,49.2087406,16.5935118
32465948,area,Winning Group Arena,49.1854199,16.6014576
32743158,area,Janáčkovo divadlo,49.1982459,16.6103348
32743162,area,Mahenovo divadlo,49.196335,16.6129499
32743164,area,park Koliště,49.1977037,16.6129099
32743166,area,Denisovy sady,49.1909132,16.6050753
32755708,area,Jakubské náměstí,49.1967483,16.6076997
32764230,area,Vazební věznice Brno,49.1740392,16.5784365
33160048,area,Kadetka,49.2279857,16.5954387
34502200,area,Fakultní nemocnice Bohunice,49.1755664,16.567672
34508110,area,Porodnice Obilní trh,49.1991728,16.5945441
34832708,area,Veterinární univerzita Brno,49.2186909,16.592939
37005058,area,Čepro a.s.,49.1562281,16.4986445
40116460,area,Hospic sv. Alžběty,49.1850987,16.5888218
40612226,area,Bohunice,49.1723664,16.5547845
45464304,area,Morava,49.1871819,16.5845659
45464308,area,Pavilon Brno,49.1875553,16.5851388
45464328,area,Expo Parking,49.1836473,16.5801541
45464330,area,Quality Hotel Brno Exhibition Centre,49.1839724,16.5802183
45916362,area,Koperníkova,49.203812,16.6381231
50426924,area,Hutira-Omice,49.1591288,16.4492013
52161110,area,Rajhradská bažantnice,49.0921,16.609111
52178778,area,U žlíbku,49.1912965,16.5301754
52179466,area,Bosonožský hájek,49.1886645,16.4944731
52557118,area,"Základní škola Brno, Labská 27",49.1696368,16.5584024
52608292,area,Slovanské náměstí,49.2229838,16.5900111
52611796,area,Pálavské náměstí,49.205531,16.6571594
52895710,area,Základní škola Gajdošova,49.2023711,16.6435641
53816632,area,Velké pole,49.1872764,16.5362736
53951526,area,Tyršův sad,49.2025289,16.6017949
54158132,area,Janáčkovo kulturní centrum,49.195972,16.604711
54335786,area,TJ Tesla,49.223011,16.6242936
54339404,area,SSO Okružní,49.2229283,16.6207102
54339408,area,SSO Dusíkova,49.2366199,16.6276506
54339440,area,SSO Útěchovská,49.247476,16.6159759
54644604,area,Hřbitov Líšeň,49.2189877,16.7022492
54820994,area,Fakulta informačních technologií VUT,49.2269612,16.5947599
54899368,area,náměstí Republiky,49.2114719,16.6318476
55411680,area,Nástupiště 1,49.1895002,16.6102439
55411690,area,Nástupiště 5,49.1875894,16.6089436
55411710,area,Nástupiště 2,49.1892986,16.6102684
55411714,area,Nástupiště 3,49.1894688,16.6105942
55411720,area,Nástupiště 6,49.1877138,16.6088531
55698060,area,Sokolnice,49.1127865,16.6965664
56040848,area,Jížní náměstí,49.1524559,16.6229065
57354074,area,Hotel Motorsport,49.2054563,16.4281191
57519970,area,Koupaliště Lískovec,49.1649901,16.5560426
57519974,area,Hřiště Pod topoly,49.1658121,16.5558753
57544186,area,Tribuna T2,49.2031798,16.4427678
57544188,area,Tribuna T3,49.202454,16.4455146
57554044,area,ČOV Tetčice,49.170521,16.4180212
57554664,area,STK a emise Rosice,49.1867959,16.4062869
57585454,area,Zahradnictví Chaloupka,49.1668283,16.5187293
57610894,area,Moravský zemský archiv,49.1752136,16.5648067
57613900,area,Všech svatých,49.1687921,16.5115677
57614318,area,ZŠ a MŠ Troubsko,49.1696801,16.5099326
57614344,area,MŠ Troubsko,49.1717182,16.5060737
57614688,area,"Výzkumný ústav pícninářský, spol. s r.o.",49.1738465,16.5052529
57648166,area,U Čoupků,49.1770106,16.5273835
192011,area,Ústav archeologie a muzeologie,49.1966654,16.6014847
57683314,area,Bowling Stodola,49.2164719,16.558271
57801958,area,Campus Square,49.1771663,16.565044
58095852,area,Kostel svatého Václava,49.1966167,16.595517
58371222,area,Poliklinika Horníkova,49.2126749,16.6817268
58478166,area,Vaňkovka,49.1888327,16.6136754
58478176,area,Obchodní centrum Dornych,49.1894811,16.6118842
58478184,area,Wanieck gallery,49.1876666,16.6157292
58478190,area,"Brno, ÚAN Zvonařka",49.1860209,16.6150809
58603536,area,Růženin lom,49.2179406,16.6709439
60310578,area,Úřad městské části Brno-Líšeň,49.207703,16.685843
60772814,area,Nákupní centrum Královo Pole,49.2168797,16.6069252
60773140,area,Teplárna Červený mlýn,49.2166174,16.6051912
60773446,area,Cimburkova,49.21938,16.6054532
60773708,area,Retenční nádrž Červený mlýn,49.2191366,16.60374
61311150,area,Ústřední dílny DPMB,49.2349421,16.5784942
